"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Inksac_60-14",265556,22160,11.98,"26.60",2.5
"Inksac_65-15",144188,37666,3.83,"8.29",2.5
"Inksac_65-1",98141,39032,2.51,"5.34",2.5
"Inksac_65-2",473315,39034,12.13,"26.92",2.5
"Inksac_65-3",432496,45441,9.52,"21.06",2.5
"Inksac_65-4",139142,39036,3.56,"7.70",2.5
"Inksac_65-5",675973,36736,18.4,"41.00",2.5
"Inksac_65-6",215713,45932,4.7,"10.24",2.5
"Inksac_65-8",609979,33182,18.38,"40.96",2.5
"Inksac_65-10",321564,34987,9.19,"20.33",2.5
"Inksac_65-11",286471,33890,8.45,"18.67",2.5
"Inksac_65-12",302199,34818,8.68,"19.18",2.5
"Inksac_65-13",282254,32410,8.71,"19.25",2.5
"Inksac_65-14",533628,33995,15.7,"34.93",2.5
"Inksac_65-15",250265,30713,8.15,"17.99",2.5
