"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_26-1",59814,642735,0.09,2.66,1
"Muscle_26-2",99152,556206,0.18,5.15,1
"Muscle_26-3",91129,527671,0.17,4.99,1
"Muscle_26-4",56065,506715,0.11,3.17,1
"Muscle_26-5",85258,527778,0.16,4.66,1
"Muscle_26-6",145307,494758,0.29,8.53,1
"Muscle_26-7",126672,475327,0.27,7.73,1
"Muscle_26-8",67978,503443,0.14,3.88,1
"Muscle_26-9",149003,505507,0.29,8.56,1
"Muscle_26-10",126181,468932,0.27,7.81,1
"Muscle_26-11",55628,594744,0.09,2.67,1
"Muscle_26-12",173580,523820,0.33,9.63,1
"Muscle_26-13",71229,494795,0.14,4.15,1
"Muscle_26-14",132640,514305,0.26,7.48,1
"Muscle_26-15",439567,396617,1.11,32.37,1
"Muscle_28-1",89021,542654,0.16,4.73,1
"Muscle_28-2",228541,434756,0.53,15.32,1
"Muscle_28-3",302645,462349,0.65,19.09,1
"Muscle_28-4",85689,469699,0.18,5.27,1
"Muscle_28-5",116607,461981,0.25,7.32,1
"Muscle_28-6",219527,504236,0.44,12.67,1
"Muscle_28-7",46128,532616,0.09,2.47,1
"Muscle_28-8",52616,398875,0.13,3.79,1
"Muscle_28-9",111363,428583,0.26,7.54,1
"Muscle_28-10",157606,413374,0.38,11.09,1
"Muscle_28-11",142299,397851,0.36,10.4,1
"Muscle_28-12",234988,446720,0.53,15.33,1
"Muscle_28-13",266319,437092,0.61,17.76,1
"Muscle_28-14",192350,401572,0.48,13.95,1
"Muscle_28-15",198040,353601,0.56,16.32,1
"Stomach_26-1",134703,18998,7.09,11.17,1
"Stomach_26-2",164576,24355,6.76,10.64,1
"Stomach_26-3",175732,19217,9.14,14.45,1
"Stomach_26-4",173671,22230,7.81,12.32,1
"Stomach_26-5",156203,20200,7.73,12.2,1
"Stomach_26-6",183166,18452,9.93,15.71,1
"Stomach_26-7",226558,17575,12.89,20.45,1
"Stomach_26-8",179767,16697,10.77,17.05,1
"Stomach_26-9",204444,19602,10.43,16.51,1
"Stomach_26-10",167405,19737,8.48,13.39,1
"Stomach_26-11",262570,19873,13.21,20.96,1
"Stomach_26-12",132108,18618,7.1,11.18,1
"Stomach_26-13",134744,14892,9.05,14.3,1
"Stomach_26-14",202334,15712,12.88,20.42,1
"Stomach_26-15",253163,18067,14.01,22.24,1
"Stomach_28-1",230449,18889,12.2,19.34,1
"Stomach_28-2",268042,17465,15.35,24.38,1
"Stomach_28-3",252932,18450,13.71,21.75,1
"Stomach_28-4",245457,17901,13.71,21.76,1
"Stomach_28-5",146210,16259,8.99,14.21,1
"Stomach_28-6",148167,24913,5.95,9.34,1
"Stomach_28-7",143463,16331,8.78,13.88,1
"Stomach_28-8",89593,16916,5.3,8.3,1
"Stomach_28-9",138368,16205,8.54,13.49,1
"Stomach_28-10",167108,14342,11.65,18.46,1
"Stomach_28-11",192244,14508,13.25,21.02,1
"Stomach_28-12",159655,15637,10.21,16.16,1
"Stomach_28-13",184817,12044,15.35,24.37,1
"Stomach_28-14",149973,14400,10.42,16.49,1
"Stomach_28-15",167300,17299,9.67,15.3,1
"Liver_26-1",218814,15936,13.73,20.47,1
"Liver_26-2",116722,8478,13.77,20.52,1
"Liver_26-3",142743,3558,40.12,60.02,1
"Liver_26-4",112073,7940,14.12,21.04,1
"Liver_26-5",132002,6650,19.85,29.64,1
"Liver_26-6",117023,3996,29.28,43.78,1
"Liver_26-7",107293,3392,31.63,47.3,1
"Liver_26-8",174855,7666,22.81,34.07,1
"Liver_26-9",139237,8185,17.01,25.38,1
"Liver_26-10",189048,2410,78.45,117.47,1
"Liver_26-11",144016,8377,17.19,25.65,1
"Liver_26-12",111545,3886,28.7,42.91,1
"Liver_26-13",104660,6516,16.06,23.96,1
"Liver_26-14",148884,1807,82.4,123.39,1
"Liver_26-15",281050,4491,62.59,93.69,1
"Liver_28-1",127382,4105,31.03,46.4,1
"Liver_28-2",104524,1642,63.64,95.26,1
"Liver_28-3",101008,3394,29.76,44.5,1
"Liver_28-4",132551,4599,28.82,43.08,1
"Liver_28-5",132777,5187,25.6,38.26,1
"Liver_28-6",203010,7149,28.4,42.45,1
"Liver_28-7",139442,1753,79.57,119.14,1
"Liver_28-8",129072,7392,17.46,26.06,1
"Liver_28-9",87828,6682,13.14,19.59,1
"Liver_28-10",137866,7938,17.37,25.92,1
"Liver_28-11",119165,8409,14.17,21.13,1
"Liver_28-12",114478,2464,46.46,69.53,1
"Liver_28-13",127141,4327,29.39,43.93,1
"Liver_28-14",107235,7273,14.74,21.99,1
"Liver_28-15",97879,1477,66.29,99.24,1
