"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Inksac_49-5","N/A",365235,"N/A","N/A",5
"Inksac_49-6","N/A",355430,"N/A","N/A",5
"Inksac_49-7","N/A",337522,"N/A","N/A",5
"Inksac_49-8","N/A",327410,"N/A","N/A",5
"Inksac_49-9","N/A",322132,"N/A","N/A",5
"Inksac_49-10","N/A",374493,"N/A","N/A",5
"Inksac_49-11","N/A",472550,"N/A","N/A",5
"Inksac_49-12","N/A",446007,"N/A","N/A",5
"Inksac_49-13","N/A",450054,"N/A","N/A",5
"Inksac_49-14","N/A",530412,"N/A","N/A",5
"Inksac_49-15","N/A",510351,"N/A","N/A",5
