"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_47-1",204778,84808,2.41,61.08,5
"Muscle_47-2",143656,75994,1.89,47.94,5
"Muscle_47-3",104678,72142,1.45,36.93,5
"Muscle_47-4",236787,72104,3.28,82.87,5
"Muscle_47-5",248782,70846,3.51,88.57,5
"Muscle_47-6",287332,63123,4.55,114.64,5
"Muscle_47-7",153717,66958,2.3,58.1,5
"Muscle_47-8",128832,62576,2.06,52.16,5
"Muscle_47-9",156096,65370,2.39,60.41,5
"Muscle_47-10",134829,64109,2.1,53.27,5
"Muscle_47-11",108161,69918,1.55,39.34,5
"Muscle_47-12",130523,61045,2.14,54.15,5
"Muscle_47-13",144507,62741,2.3,58.29,5
"Muscle_47-14",124884,61814,2.02,51.2,5
"Muscle_47-15",94879,57868,1.64,41.66,5
"Muscle_49-1",147756,52611,2.81,70.95,5
"Muscle_49-2",108491,56937,1.91,48.32,5
"Muscle_49-3",60332,52177,1.16,29.55,5
"Muscle_49-4",85764,52399,1.64,41.59,5
"Muscle_49-5",93404,61494,1.52,38.63,5
"Muscle_49-6",54938,67888,0.81,20.85,5
"Muscle_49-7",61865,60497,1.02,26.2,5
"Muscle_49-8",77363,50206,1.54,39.19,5
"Muscle_49-9",48789,48999,1,25.52,5
"Muscle_49-10",61374,61976,0.99,25.39,5
"Muscle_49-11",125345,48394,2.59,65.48,5
"Muscle_49-12",108382,45551,2.38,60.2,5
"Muscle_49-13",55549,58910,0.94,24.2,5
"Muscle_49-14",123965,41611,2.98,75.23,5
"Muscle_49-15",84312,48239,1.75,44.37,5
"Stomach_47-1",409248,647360,0.63,265.02,10
"Stomach_47-2",498311,536125,0.93,387.66,10
"Stomach_47-3",258068,525717,0.49,206.73,10
"Stomach_47-4",92216,575989,0.16,70.26,10
"Stomach_47-5",202034,511610,0.39,167.13,10
"Stomach_47-6",229400,739333,0.31,132.22,10
"Stomach_47-7",165866,583684,0.28,121.45,10
"Stomach_47-8",508793,347671,1.46,607.94,10
"Stomach_47-9",104560,555072,0.19,81.93,10
"Stomach_47-10",331409,167175,1.98,822.04,10
"Stomach_47-11",1379203,590846,2.33,967.21,10
"Stomach_47-12",2545164,404182,6.3,2602.03,10
"Stomach_47-13",1754044,322778,5.43,2246.06,10
"Stomach_47-14",2100175,306050,6.86,2835.16,10
"Stomach_47-15",469817,277702,1.69,702.16,10
"Stomach_49-1",1233530,472535,2.61,1081.14,10
"Stomach_49-2",227300,86322,2.63,1090.51,10
"Stomach_49-3",670702,501961,1.34,555.44,10
"Stomach_49-4",494446,451606,1.09,455.89,10
"Stomach_49-5",1959315,427935,4.58,1893.06,10
"Stomach_49-6",271445,601485,0.45,190.39,10
"Stomach_49-7",39174,74828,0.52,220.19,10
"Stomach_49-8",293765,475393,0.62,259.14,10
"Stomach_49-9",467952,347166,1.35,560.29,10
"Stomach_49-10",8861,39464,0.22,96.85,10
"Stomach_49-11",294856,503041,0.59,246.03,10
"Stomach_49-12",479814,444606,1.08,449.43,10
"Stomach_49-13",221823,457997,0.48,204.02,10
"Stomach_49-14",232199,311672,0.75,311.56,10
"Stomach_49-15",372180,346829,1.07,446.91,10
"Liver_47-1",1108322,16736,66.22,1001.21,5
"Liver_47-2",545167,10404,52.4,792.44,5
"Liver_47-3",1007532,10678,94.36,1426.2,5
"Liver_47-4",427885,8158,52.45,793.14,5
"Liver_47-5",860158,7871,109.28,1651.69,5
"Liver_47-6",500544,12483,40.1,606.59,5
"Liver_47-7",762028,11873,64.18,970.39,5
"Liver_47-8",688031,6624,103.87,1569.84,5
"Liver_47-9",782236,6512,120.11,1815.28,5
"Liver_47-10",740829,7223,102.57,1550.29,5
"Liver_47-11",732177,2681,273.07,4125.75,5
"Liver_47-12",603309,1861,324.24,4898.73,5
"Liver_47-13",790971,3394,233.07,3521.5,5
"Liver_47-14",445439,6951,64.09,968.94,5
"Liver_47-15",652327,3049,213.93,3232.44,5
"Liver_49-1",629486,7991,78.78,1190.85,5
"Liver_49-2",1018674,2352,433.1,6543.15,5
"Liver_49-3",1412632,5146,274.51,4147.57,5
"Liver_49-4",965681,7665,125.98,1903.86,5
"Liver_49-5",917014,3010,304.67,4603.14,5
"Liver_49-6",768356,12810,59.98,906.95,5
"Liver_49-7",186552,13393,13.93,211.28,5
"Liver_49-8",626633,2410,260.06,3929.28,5
"Liver_49-9",342700,10670,32.12,486.05,5
