"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_60-1","2326",670226,"0.00","BLOQ",1
"Muscle_60-2","744",634258,"0.00","BLOQ",1
"Muscle_60-3","331",624639,"0.00","BLOQ",1
"Muscle_60-4","1589",530748,"0.00","BLOQ",1
"Muscle_60-5","1423",564152,"0.00","BLOQ",1
"Muscle_60-6","895",575906,"0.00","BLOQ",1
"Muscle_60-7","829",543150,"0.00","BLOQ",1
"Muscle_60-8","1277",520669,"0.00","BLOQ",1
"Muscle_60-9","1671",551878,"0.00","BLOQ",1
"Muscle_60-10","757",549392,"0.00","BLOQ",1
"Muscle_60-11","1478",610133,"0.00","BLOQ",1
"Muscle_60-12","391",567322,"0.00","BLOQ",1
"Muscle_60-13","1530",578898,"0.00","BLOQ",1
"Muscle_60-14","386",528527,"0.00","BLOQ",1
"Muscle_60-15","1080",539631,"0.00","BLOQ",1
"Muscle_65-1","1429",515852,"0.00","BLOQ",1
"Muscle_65-2","1542",502162,"0.00","BLOQ",1
"Muscle_65-3","1106",516540,"0.00","BLOQ",1
"Muscle_65-4","1889",554508,"0.00","BLOQ",1
"Muscle_65-5","1643",515143,"0.00","BLOQ",1
"Muscle_65-6","1304",607838,"0.00","BLOQ",1
"Muscle_65-7","724",547994,"0.00","BLOQ",1
"Muscle_65-8","850",551385,"0.00","BLOQ",1
"Muscle_65-9","778",523358,"0.00","BLOQ",1
"Muscle_65-10","1250",504929,"0.00","BLOQ",1
"Muscle_65-11","1049",514565,"0.00","BLOQ",1
"Muscle_65-12","601",521165,"0.00","BLOQ",1
"Muscle_65-13","1268",517440,"0.00","BLOQ",1
"Muscle_65-14","702",497290,"0.00","BLOQ",1
"Muscle_65-15","1461",490507,"0.00","BLOQ",1
"Stomach_60-1","2434",63410,"0.04","BLOQ",2.5
"Stomach_60-2","1598",57460,"0.03","BLOQ",2.5
"Stomach_60-3","2583",55460,"0.05","BLOQ",2.5
"Stomach_60-4","2792",44610,"0.06","BLOQ",2.5
"Stomach_60-5","2791",42870,"0.07","BLOQ",2.5
"Stomach_60-6","2355",49050,"0.05","BLOQ",2.5
"Stomach_60-7","2871",42210,"0.07","BLOQ",2.5
"Stomach_60-8","3104",49820,"0.06","BLOQ",2.5
"Stomach_60-9","1644",41830,"0.04","BLOQ",2.5
"Stomach_60-10","1217",41390,"0.03","BLOQ",2.5
"Stomach_60-11","2449",54430,"0.04","BLOQ",2.5
"Stomach_60-12","1758",47470,"0.04","BLOQ",2.5
"Stomach_60-13","3255",48070,"0.07","BLOQ",2.5
"Stomach_60-14","1400",45170,"0.03","BLOQ",2.5
"Stomach_60-15","3632",45410,"0.08","BLOQ",2.5
"Stomach_65-1","3418",49060,"0.07","BLOQ",2.5
"Stomach_65-2","3173",41660,"0.08","BLOQ",2.5
"Stomach_65-3","3473",46040,"0.08","BLOQ",2.5
"Stomach_65-4","3995",46810,"0.09","BLOQ",2.5
"Stomach_65-5","2166",33730,"0.06","BLOQ",2.5
"Stomach_65-6","2913",48510,"0.06","BLOQ",2.5
"Stomach_65-7","2059",39420,"0.05","BLOQ",2.5
"Stomach_65-8","4435",40730,"0.11","BLOQ",2.5
"Stomach_65-9","2508",44840,"0.06","BLOQ",2.5
"Stomach_65-10","2122",41830,"0.05","BLOQ",2.5
"Stomach_65-11","4290",44620,"0.10","BLOQ",2.5
"Stomach_65-12","1088",43690,"0.02","BLOQ",2.5
"Stomach_65-13","3944",11880,"0.33","6.514",2.5
"Stomach_65-14","1365",30930,"0.04","BLOQ",2.5
"Stomach_65-15","3290",34760,"0.09","BLOQ",2.5
"Liver_60-1","1798",17852,"0.10","BLOQ",2.5
"Liver_60-2","3624",9297,"0.39","7.94",2.5
"Liver_60-3","4278",7601,"0.56","11.37",2.5
"Liver_60-4","3415",16521,"0.21","4.31",2.5
"Liver_60-5","2985",9945,"0.30","6.16",2.5
"Liver_60-6","4102",8925,"0.46","9.33",2.5
"Liver_60-7","N/A",23765,"N/A","N/A",2.5
"Liver_60-8","834",9413,"0.09","BLOQ",2.5
"Liver_60-9","3468",9463,"0.37","7.48",2.5
"Liver_60-10","4622",7384,"0.63","12.62",2.5
"Liver_60-11","2646",9033,"0.29","6.02",2.5
"Liver_60-12","3603",9196,"0.39","7.98",2.5
"Liver_60-13","4404",6680,"0.66","13.28",2.5
"Liver_60-14","1510",7225,"0.21","4.36",2.5
"Liver_60-15","3458",7548,"0.46","9.29",2.5
"Liver_65-1","3901",6291,"0.62","12.51",2.5
"Liver_65-2","991",6841,"0.14","3.09",2.5
"Liver_65-3","1852",6615,"0.28","5.76",2.5
"Liver_65-4","5092",7492,"0.68","13.69",2.5
"Liver_65-5","2297",6638,"0.35","7.07",2.5
"Liver_65-6","1988",15878,"0.13","2.70",2.5
"Liver_65-7","4715",7373,"0.64","12.89",2.5
"Liver_65-8","2830",8249,"0.34","7.01",2.5
"Liver_65-9","1774",10952,"0.16","3.43",2.5
"Liver_65-10","3374",10075,"0.33","6.85",2.5
"Liver_65-11","3586",8651,"0.41","8.43",2.5
"Liver_65-12","3226",8761,"0.37","7.51",2.5
"Liver_65-13","2990",8101,"0.37","7.53",2.5
"Liver_65-14","1500",24062,"0.06","BLOQ",2.5
"Liver_65-15","N/A",7552,"N/A","N/A",2.5
"Inksac_60-1","2603",55869,"0.05","BLOQ",5
"Inksac_60-3","2680",54258,"0.05","BLOQ",5
"Inksac_60-4","3016",49360,"0.06","BLOQ",5
"Inksac_60-5","3039",45390,"0.07","BLOQ",5
"Inksac_60-6","3340",46100,"0.07","BLOQ",5
"Inksac_60-7","1803",43798,"0.04","BLOQ",5
"Inksac_60-9","2900",48344,"0.06","BLOQ",5
"Inksac_60-10","3998",46483,"0.09","BLOQ",5
"Inksac_60-12","4160",41826,"0.10","BLOQ",5
"Inksac_60-14","3502",40516,"0.09","BLOQ",5
"Inksac_65-15","3643",48975,"0.07","BLOQ",5
"Inksac_65-1","1915",40793,"0.05","BLOQ",5
"Inksac_65-2","4163",45088,"0.09","BLOQ",5
"Inksac_65-3","2740",22160,"0.12","BLOQ",5
"Inksac_65-4","3258",39364,"0.08","BLOQ",5
"Inksac_65-5","2001",39032,"0.05","BLOQ",5
"Inksac_65-6","1859",39034,"0.05","BLOQ",5
"Inksac_65-8","2355",45441,"0.05","BLOQ",5
"Inksac_65-10","2051",39036,"0.05","BLOQ",5
"Inksac_65-11","2245",36736,"0.06","BLOQ",5
"Inksac_65-12","2736",45932,"0.06","BLOQ",5
"Inksac_65-13","3200",37666,"0.08","BLOQ",5
"Inksac_65-14","1854",33182,"0.06","BLOQ",5
"Inksac_65-15","974",41085,"0.02","BLOQ",5
