"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Inksac_65-1",546574,40793,13.4,"342.90",5
"Inksac_65-2",574110,45088,12.73,"325.87",5
"Inksac_65-3",1835,22160,0.08,"BLOQ",5
"Inksac_65-4",606521,39364,15.41,"394.29",5
"Inksac_65-5",443817,39032,11.37,"291.01",5
"Inksac_65-6",62693,39034,1.61,"41.24",5
"Inksac_65-8",208687,45441,4.59,"117.64",5
"Inksac_65-10",130489,39036,3.34,"85.67",5
"Inksac_65-11",261984,36736,7.13,"182.58",5
"Inksac_65-12",500594,45932,10.9,"278.94",5
"Inksac_65-13",448096,37666,11.9,"304.47",5
"Inksac_65-14",820594,33182,24.73,"632.75",5
"Inksac_65-15",375809,41085,9.15,"234.14",5
