"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_60-1","221261",670226,"0.33","6.21",2.5
"Muscle_60-2","15439",634258,"0.02","BLOQ",2.5
"Muscle_60-3","263954",624639,"0.42","8.00",2.5
"Muscle_60-4","96335",530748,"0.18","3.34",2.5
"Muscle_60-5","41604",564152,"0.07","BLOQ",2.5
"Muscle_60-6","25733",575906,"0.04","BLOQ",2.5
"Muscle_60-7","67432",543150,"0.12","BLOQ",2.5
"Muscle_60-8","60518",520669,"0.12","BLOQ",2.5
"Muscle_60-9","263082",551878,"0.48","9.05",2.5
"Muscle_60-10","126392",549392,"0.23","4.28",2.5
"Muscle_60-11","13809",610133,"0.02","BLOQ",2.5
"Muscle_60-12","39011",567322,"0.07","BLOQ",2.5
"Muscle_60-13","113041",578898,"0.20","3.60",2.5
"Muscle_60-14","47150",528527,"0.09","BLOQ",2.5
"Muscle_60-15","97294",539631,"0.18","3.31",2.5
"Muscle_65-1","5426",515852,"0.01","BLOQ",2.5
"Muscle_65-2","7695",502162,"0.02","BLOQ",2.5
"Muscle_65-3","4711",516540,"0.01","BLOQ",2.5
"Muscle_65-4","5059",554508,"0.01","BLOQ",2.5
"Muscle_65-5","8122",515143,"0.02","BLOQ",2.5
"Muscle_65-6","236984",607838,"0.39","7.37",2.5
"Muscle_65-7","127620",547994,"0.23","4.33",2.5
"Muscle_65-8","583021",551385,"1.06","20.29",2.5
"Muscle_65-9","509430",523358,"0.97","18.67",2.5
"Muscle_65-10","165024",504929,"0.33","6.15",2.5
"Muscle_65-11","269575",514565,"0.52","9.96",2.5
"Muscle_65-12","606233",521165,"1.16","22.34",2.5
"Muscle_65-13","349786",517440,"0.68","12.91",2.5
"Muscle_65-14","759949",497290,"1.53","29.41",2.5
"Muscle_65-15","279339",490507,"0.57","10.85",2.5
"Stomach_60-1","162800",63410,"2.57","47.55",25
"Stomach_60-2","29970",57460,"0.52","BLOQ",25
"Stomach_60-3","34630",55460,"0.62","BLOQ",25
"Stomach_60-4","174300",44610,"3.91","74.09",25
"Stomach_60-5","91150",42870,"2.13","38.82",25
"Stomach_60-6","N/A",49050,"N/A","N/A",25
"Stomach_60-7","69560",42210,"1.65","29.34",25
"Stomach_60-8","38280",49820,"0.77","BLOQ",25
"Stomach_60-9","278200",41830,"6.65","128.44",25
"Stomach_60-10","34870",41390,"0.84","BLOQ",25
"Stomach_60-11","34250",54430,"0.63","BLOQ",25
"Stomach_60-12","78120",47470,"1.65","29.30",25
"Stomach_60-13","61690",48070,"1.28","BLOQ",25
"Stomach_60-14","73290",45170,"1.62","28.84",25
"Stomach_60-15","N/A",45410,"N/A","BLOQ",25
"Stomach_65-1","N/A",49060,"N/A","BLOQ",25
"Stomach_65-2","21610",41660,"0.52","BLOQ",25
"Stomach_65-3","N/A",46040,"N/A","BLOQ",25
"Stomach_65-4","30160",46810,"0.64","BLOQ",25
"Stomach_65-5","229600",33730,"6.81","131.55",25
"Stomach_65-6","N/A",48510,"N/A","BLOQ",25
