Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,std,13.38,1.49,0.34,1.82,2.46,0.61,1.68,0.61,1.06,0.93,NA,NA,NA,NA
Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y-y0,0,-775.74,1283.68,3166.63,6979.76,8277.38,18380.39,27165.39,35076.3,45126.38,893.858658,3924.98,4039.2,4305.7
Metal_A [ He ] ,Conc. [ ppb ],0,NA,1.44,3.54,7.81,9.26,20.56,30.38,39.23,50.47,NA,NA,NA,NA
,Avg.intensity,3924.98,3149.24,5208.66,7091.61,10904.74,12202.36,22305.37,31090.37,39001.28,49051.36,NA,NA,NA,NA
,std,0.97,4.54,5.07,2.18,3.5,2.63,2.43,0.65,2.88,1.44,NA,NA,NA,NA
NA,y-y0,0,63365.81,163047.3,302250.85,471490.92,629999.37,1258471.08,1858216.52,2437982.8,3045332.47,62355.03062,3497.1,4157,5696.78
Metal_B [ He ] ,Conc. [ ppb ],0,1.03,2.66,4.93,7.69,10.28,20.53,30.32,39.78,49.69,NA,NA,NA,NA
,Avg.intensity,3497.1,66862.91,166544.4,305747.95,474988.02,633496.47,1261968.18,1861713.62,2441479.9,3048829.57,NA,NA,NA,NA
,std,6.29,1.34,1.7,1.04,1.2,0.44,0.15,1.9,2.38,1.4,NA,NA,NA,NA
NA,y-y0,0,16222.98,41215.29,79036.55,120662.07,160699.54,321233.68,483024.66,641280.16,797565.71,16038.5252,716.7,756.69,850.01
Metal_C [ He ] ,Conc. [ ppb ],0,1.01,2.57,4.94,7.54,10.04,20.06,30.17,40.06,49.82,NA,NA,NA,NA
,Avg.intensity,716.7,16939.68,41931.99,79753.25,121378.77,161416.24,321950.38,483741.36,641996.86,798282.41,NA,NA,NA,NA
,std,1.86,3.63,0.74,0.84,1.3,0.83,0.81,0.88,0.15,0.63,NA,NA,NA,NA
NA,y-y0,0,37262.73,103214.66,223247.68,342865.42,426168.51,864392.45,1304032.26,1657612.12,2075958.69,42006.9696,9462.75,10277.49,12178.56
Metal_D [ He ] ,Conc. [ ppb ],0,0.89,2.46,5.31,8.16,10.15,20.58,31.04,39.46,49.42,NA,NA,NA,NA
,Avg.intensity,9462.75,46725.48,112677.41,232710.43,352328.17,435631.26,873855.2,1313495.01,1667074.87,2085421.44,NA,NA,NA,NA
,std,2.87,1.38,2.08,1.69,2.27,2.04,1.82,0.05,1.43,1.4,NA,NA,NA,NA
NA,y-y0,0,4805.23,17671.22,41343.69,54078.19,73150.67,150369.65,223943.9,296613.87,369703.95,7420.284004,4088.36,4655.01,5977.18
Metal_E [ He ] ,Conc. [ ppb ],0,0.65,2.38,5.57,7.29,9.86,20.26,30.18,39.97,49.82,NA,NA,NA,NA
,Avg.intensity,4088.36,8893.59,21759.58,45432.05,58166.55,77239.03,154458.01,228032.26,300702.23,373792.31,NA,NA,NA,NA
,std,4.62,1.32,1.91,0.75,1.53,0.85,1.32,0.66,1.15,0.35,NA,NA,NA,NA
NA,y-y0,0,28377.28,95841.26,217136.74,367589.28,504404.87,1076873.44,1599259.79,2166446.57,2617444.46,46447.27379,397.79,525.24,822.63
Metal_F [ He ] ,Conc. [ ppb ],0,0.54,1.81,4.1,6.94,9.52,20.32,30.17,40.88,49.38,NA,NA,NA,NA
,Avg.intensity,397.79,28775.07,96239.05,217534.53,367987.07,504802.66,1077271.23,1599657.58,2166844.36,2617842.25,NA,NA,NA,NA
,std,10.68,1.17,2.27,5.22,3.58,2.46,1.36,0.39,1.8,2.61,NA,NA,NA,NA
NA,y-y0,0,9637.44,24380.49,45189.32,67508.68,91175.64,182936.54,276733.7,367529.54,456512.12,9162.053532,16.67,36.67,83.33
Metal_G [ He ] ,Conc. [ ppb ],0,1.05,2.66,4.93,7.37,9.95,19.97,30.2,40.11,49.83,NA,NA,NA,NA
,Avg.intensity,16.67,9654.11,24397.16,45205.99,67525.35,91192.31,182953.21,276750.37,367546.21,456528.79,NA,NA,NA,NA
,std,39.99,1.88,2.44,2.57,0.88,1.05,1.23,1.31,0.74,0.86,NA,NA,NA,NA
NA,y-y0,0,4842,15118.83,30340.17,64596.08,91877.91,218802.41,3791.69,2126.87,1494.56,7670.175424,37.78,89.11,208.89
Metal_H [ He ] ,Conc. [ ppb ],0,0.48,1.49,2.99,6.36,9.05,21.56,0.37,0.21,0.15,NA,NA,NA,NA
,Avg.intensity,37.78,4879.78,15156.61,30377.95,64633.86,91915.69,218840.19,3829.47,2164.65,1532.34,NA,NA,NA,NA
,std,45.29,2.88,3.24,2.35,1.69,1.04,0.3,2.7,6.14,6.24,NA,NA,NA,NA
